"PENYERAH_PIUTANG","LOKASI","UMUR_BKPN","NILAI_SP3N","ADA_JAMINAN","POTENSI"
"1001 - Pemda","Luar Kota","5-10th","8-50jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","5-10th","<8jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th","300-500jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th","<8jt","Tidak ada","Aktif"
"015 - Kementerian Keuangan","Luar Kota","5-10th","300-500jt","Tidak ada","Aktif"
"015 - Kementerian Keuangan","Luar Kota","5-10th","<8jt","Tidak ada","Aktif"
"044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll","Luar Kota","5-10th","300-500jt","Tidak ada","Aktif"
"044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll","Dalam Kota","5-10th","300-500jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th","50-300jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th","<8jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota",">10th",">=1M","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota",">10th","<8jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th",">=1M","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th","<8jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota",">10th","50-300jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota",">10th","<8jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","5-10th","<8jt","Tidak ada","Aktif"
"066 - Badan Narkotika Nasional","Luar Kota","1-5th","300-500jt","Tidak ada","Aktif"
"066 - Badan Narkotika Nasional","Luar Kota","1-5th","50-300jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Dalam Kota",">10th","300-500jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","8-50jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","8-50jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","<8jt","Tidak ada","Aktif"
"015-09-01 - DJKN Eks BPPN","Dalam Kota","1-5th",">=1M","Tidak ada","Aktif"
"024 - Kementerian Kesehatan","Luar Kota","<1th","8-50jt","Tidak ada","Aktif"
"013 - Kementerian Hukum dan Hak Asasi Manusia","Dalam Kota","<1th","50-300jt","Tidak ada","Aktif"
"024 - Kementerian Kesehatan","Luar Kota","<1th","8-50jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota","5-10th",">=1M","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota","5-10th","<8jt","Tidak ada","Aktif"
"015 - Kementerian Keuangan","Dalam Kota","1-5th","50-300jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","50-300jt","Tidak ada","Aktif"
"024 - Kementerian Kesehatan","Luar Kota","<1th","8-50jt","Tidak ada","Aktif"
"024 - Kementerian Kesehatan","Luar Kota","<1th","8-50jt","Tidak ada","Aktif"
"022 - Kementerian Perhubungan","Luar Kota","5-10th","8-50jt","Tidak ada","Aktif"
"022 - Kementerian Perhubungan","Luar Kota","5-10th","300-500jt","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota",">10th",">=1M","Tidak ada","Aktif"
"029 - Kementerian Kehutanan","Luar Kota",">10th","<8jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","5-10th","8-50jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","8-50jt","Tidak ada","Aktif"
"018 - Kementerian Pertanian","Luar Kota","1-5th","300-500jt","Tidak ada","Aktif"
"015 - Kementerian Keuangan","Dalam Kota","1-5th","50-300jt","Tidak ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","8-50jt","Tidak ada","Aktif"
"024 - Kementerian Kesehatan","Dalam Kota","<1th","8-50jt","Tidak ada","Aktif"
"015-05 - Direktorat Jenderal Perbendaharaan","Luar Kota","5-10th",">=1M","Tidak ada","Aktif"
"015-09-03 - DJKN Eks PTPPA","Dalam Kota",">10th",">=1M","Ada","Aktif"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","8-50jt","Tidak ada","Aktif"
