PENYERAH_PIUTANG;LOKASI;TAHAP_SIMPEL;WAKTU;UTANG;"""PENYERAH_PIUTANG"",""LOKASI"",""TAHAP_SIMPEL"",""WAKTU"",""UTANG"""
029 - Kementerian Kehutanan;Luar Kota;Tidak Potensial;>10th;8-50jt;"""029 - Kementerian Kehutanan"",""Luar Kota"",""Tidak Potensial"","">10th"",""8-50jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Tidak Potensial;5-10th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Tidak Potensial"",""5-10th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll;Luar Kota;Tidak Potensial;<1th;300-500jt;"""044-BLU - BLU di bawah Kementerian Koperasi dan UKM seperti LPDB dll"",""Luar Kota"",""Tidak Potensial"",""<1th"",""300-500jt"""
029 - Kementerian Kehutanan;Luar Kota;Tidak Potensial;>10th;8-50jt;"""029 - Kementerian Kehutanan"",""Luar Kota"",""Tidak Potensial"","">10th"",""8-50jt"""
029 - Kementerian Kehutanan;Dalam Kota;Tidak Potensial;>10th;50-300jt;"""029 - Kementerian Kehutanan"",""Dalam Kota"",""Tidak Potensial"","">10th"",""50-300jt"""
029 - Kementerian Kehutanan;Dalam Kota;Tidak Potensial;>10th;<8jt;"""029 - Kementerian Kehutanan"",""Dalam Kota"",""Tidak Potensial"","">10th"",""<8jt"""
1001 - Pemda;Dalam Kota;Tidak Potensial;<1th;<8jt;"""1001 - Pemda"",""Dalam Kota"",""Tidak Potensial"",""<1th"",""<8jt"""
